epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0071,2.59197,4.04007,2.04473,0.00425,0.73421,0.10948,0.02249,2.39079,3.31477,1.68531,0.00015003,0.00015003,0.00015003
2,18.0735,2.02685,2.84802,1.53427,0.00525,0.90755,0.48715,0.18464,1.79625,3.02614,1.3772,0.000314117,0.000314117,0.000314117
3,23.9065,1.66928,3.45222,1.39098,0.00506,0.86624,0.28698,0.10838,1.6416,3.24344,1.53417,0.000475453,0.000475453,0.000475453
4,29.3012,1.7265,2.1957,1.48629,0.00458,0.78854,0.21318,0.08389,1.80432,3.41897,1.74987,0.000634039,0.000634039,0.000634039
5,34.7008,1.88366,2.11609,1.59204,0.00398,0.68599,0.02068,0.00854,1.82545,3.54283,1.99253,0.000789875,0.000789875,0.000789875
6,40.098,1.81213,1.94477,1.5455,0.00513,0.86955,0.56761,0.21182,1.82075,2.92567,1.7344,0.000942959,0.000942959,0.000942959
7,45.9047,1.78643,1.88744,1.48267,0.00611,0.86627,0.65563,0.32159,1.68753,2.6472,1.59262,0.00109329,0.00109329,0.00109329
8,51.7169,1.69897,1.8964,1.43953,0.95443,0.11273,0.55399,0.25155,1.72792,2.54948,1.60339,0.00124088,0.00124088,0.00124088
9,57.0962,1.82227,1.84614,1.60875,0.91951,0.48775,0.73831,0.35298,1.71045,2.20475,1.56458,0.00138571,0.00138571,0.00138571
10,62.8821,1.78673,1.84049,1.53912,0.81784,0.60903,0.73606,0.38053,1.63882,1.99581,1.53412,0.00152779,0.00152779,0.00152779
11,68.7262,1.67414,1.60709,1.47466,0.7978,0.73228,0.77219,0.36571,1.69485,1.83309,1.59493,0.00152947,0.00152947,0.00152947
12,74.1103,1.71053,1.5517,1.43429,0.87507,0.78536,0.80567,0.37471,1.71362,1.60656,1.61885,0.00151572,0.00151572,0.00151572
13,79.8933,1.59785,1.40752,1.39875,0.92705,0.80263,0.8619,0.45579,1.52675,1.41017,1.45791,0.00150197,0.00150197,0.00150197
14,85.6696,1.71553,1.55014,1.51112,0.85832,0.74907,0.82033,0.40032,1.7862,1.57492,1.65612,0.00148821,0.00148821,0.00148821
15,91.0256,1.7259,1.57453,1.4786,0.8897,0.8432,0.88036,0.43352,1.61722,1.32216,1.4991,0.00147446,0.00147446,0.00147446
16,96.3804,1.698,1.41318,1.46825,0.84491,0.84259,0.85543,0.435,1.57436,1.36841,1.4791,0.00146071,0.00146071,0.00146071
17,101.789,1.5682,1.38204,1.37905,0.9,0.83789,0.89227,0.47025,1.53638,1.18079,1.45817,0.00144696,0.00144696,0.00144696
18,107.545,1.54978,1.32746,1.4229,0.89582,0.79408,0.88986,0.48892,1.52554,1.10731,1.43823,0.0014332,0.0014332,0.0014332
19,113.296,1.54868,1.26066,1.37503,0.88967,0.82336,0.87218,0.42709,1.62739,1.10067,1.48018,0.00141945,0.00141945,0.00141945
20,118.653,1.60629,1.30191,1.3794,0.94557,0.8513,0.9232,0.53571,1.42064,1.00068,1.36587,0.0014057,0.0014057,0.0014057
21,124.425,1.53662,1.21281,1.39845,0.9089,0.86955,0.91756,0.52309,1.41461,0.94823,1.35692,0.00139195,0.00139195,0.00139195
22,129.771,1.53465,1.1686,1.38653,0.93437,0.86786,0.9152,0.54925,1.37451,0.9977,1.32718,0.00137819,0.00137819,0.00137819
23,135.561,1.81199,1.3362,1.83436,0.91985,0.86132,0.90727,0.51055,1.44192,1.02542,1.3661,0.00136444,0.00136444,0.00136444
24,140.925,1.51343,1.20935,1.36389,0.8799,0.82806,0.89517,0.52226,1.38206,1.1169,1.34626,0.00135069,0.00135069,0.00135069
25,146.276,1.52493,1.15278,1.35624,0.95289,0.88112,0.93366,0.55093,1.37368,0.90331,1.34419,0.00133693,0.00133693,0.00133693
26,152.059,1.53537,1.1514,1.41505,0.90241,0.85541,0.91369,0.56374,1.31568,0.93019,1.31584,0.00132318,0.00132318,0.00132318
27,157.817,1.51413,1.1035,1.36934,0.90934,0.88274,0.93225,0.55165,1.37237,0.9195,1.3341,0.00130943,0.00130943,0.00130943
28,163.163,1.55449,1.07576,1.32454,0.95134,0.89929,0.95296,0.5817,1.35543,0.84537,1.33488,0.00129568,0.00129568,0.00129568
29,168.946,1.47513,1.0844,1.34372,0.96386,0.89881,0.95469,0.55559,1.39662,0.79087,1.33895,0.00128192,0.00128192,0.00128192
30,174.298,1.50704,1.03102,1.35868,0.97241,0.84475,0.93845,0.54597,1.36855,0.82859,1.34771,0.00126817,0.00126817,0.00126817
31,179.662,1.4075,1.06817,1.30807,0.96689,0.87122,0.95091,0.52276,1.42732,0.84873,1.36767,0.00125442,0.00125442,0.00125442
32,185.013,1.40203,1.02064,1.2735,0.91334,0.89597,0.93876,0.54461,1.38086,0.82926,1.31774,0.00124066,0.00124066,0.00124066
33,190.343,1.47233,1.00854,1.29978,0.9543,0.89908,0.9676,0.58084,1.34851,0.75871,1.28534,0.00122691,0.00122691,0.00122691
34,196.12,1.38834,1.10229,1.31182,0.93725,0.90373,0.96199,0.61113,1.24114,0.79859,1.2461,0.00121316,0.00121316,0.00121316
35,201.869,1.40962,1.02653,1.27244,0.94193,0.92404,0.97421,0.54083,1.44394,0.79444,1.33857,0.00119941,0.00119941,0.00119941
